,Unternehmen,Insolvent,In dnb,Mitarbeiter,Umsatz,Datum,ReviewRating,Anstellung,Bereich,ReviewTitel,Was macht dein Arbeitgeber in Corona-Zeiten gut?,Was macht dein Arbeitgeber in Corona-Zeiten nicht gut?,Was sollte dein Unternehmen in Corona-Zeiten (anders) machen?,Wofür möchtest du deinen Arbeitgeber im Umgang mit der Corona-Situation loben?,Was macht dein Arbeitgeber im Umgang mit der Corona-Situation nicht gut?,Wo siehst du Chancen für deinen Arbeitgeber mit der Corona-Situation besser umzugehen?,Wie kann dich dein Arbeitgeber im Umgang mit der Corona-Situation noch besser unterstützen?,Gut am Arbeitgeber finde ich,Schlecht am Arbeitgeber finde ich,Verbesserungsvorschläge,Arbeitsatmosphäre_s,Arbeitsatmosphäre,Image_s,Image,Work-Life-Balance_s,Work-Life-Balance,Karriere/Weiterbildung_s,Karriere/Weiterbildung,Gehalt/Sozialleistungen_s,Gehalt/Sozialleistungen,Umwelt-/Sozialbewusstsein_s,Umwelt-/Sozialbewusstsein,Kollegenzusammenhalt_s,Kollegenzusammenhalt,Umgang mit älteren Kollegen_s,Umgang mit älteren Kollegen,Vorgesetztenverhalten_s,Vorgesetztenverhalten,Arbeitsbedingungen_s,Arbeitsbedingungen,Kommunikation_s,Kommunikation,Gleichberechtigung_s,Gleichberechtigung,Interessante Aufgaben_s,Interessante Aufgaben
301,HAPEKO Hanseatisches Personalkontor,Nein,Ja,2,0.17,2019-02-25T00:00:00+00:00,"4,9",Angestellte/r oder Arbeiter/in,Personal / Aus- und Weiterbildung,"Starkes, professionelles und motiviertes Team, das an einem Strang zieht",,,,,,,,,,,5.0,"Stets positiv mit Wohlfühlfaktor. Der positive Eindruck aus dem Bewerbungsprozess hat sich nicht nur bestätigt, sondern wurde übertroffen.",5.0,"Handschlagmentalität, Tugenden des ehrbaren Kaufmanns,für mich besonders wichtig, wird tatsächlich gelebt. authentisch",4.0,Für den Personalberatungsbereich ausgesprochen gut,5.0,Chancen und Ausrichtung nach eigenen Stärken und Schwächen,5.0,"Überdurchschnittliche Verdienstmöglichkeiten, die man selbst in der Hand hat",5.0,"Es wird sich um soziale Projekte gekümmert (z.B. Patenschaften),ohne dass ein Zwang da ist.",5.0,"Gegenseitige Unterstützung und Förderung, die Türen sind immer offen, vertrauensvoll",5.0,Altersunterschiede sind nicht wahrnehmbar,5.0,"Alle arbeiten für die Sache, gemeinschaftlich, vorbildlich, coachend, Sparringspartner, modern",5.0,"Bestens ausgestattet, Tische höhenverstellbar, moderne Büroräume, Wohfühlatmosphäre",5.0,"Immer auf Augenhöhe (intern, zum Kunden und zum Kandidaten)",5.0,"Fair, ausgeglichen, reden miteinander",5.0,"Hochinteressante Projekte, spannende Menschen"
302,HAPEKO Hanseatisches Personalkontor,Nein,Ja,2,0.17,2019-02-24T00:00:00+00:00,"4,9",Angestellte/r oder Arbeiter/in,,Personalberater,,,,,,,,,,,5.0,Top! Wertschätzung auf ganzer Linie und ein von Vertrauen geprägtes Verhältnis zur Geschäftsführung.,5.0,,5.0,"Man kann erfolgreich sein ohne Überstunden zu machen, aber der Job erfordert schon manchmal etwas länger zu bleiben. Insgesamt aber völlig im Rahmen!",5.0,"Aufstiegschancen halten sich für die meisten Mitarbeiter in Grenzen, was aber daran liegt, dass man von Beginn an, den für das Unternehmen wichtigsten Job macht!",5.0,Die Möglichkeit mehr als gut zu verdienen! Hier spürt man den eigenen Erfolg unmittelbar auf dem Konto und zwar nicht zu knapp!,5.0,,5.0,"Könnte nicht viel besser sein! Wir haben ein tolles Team, lachen viel gemeinsam und sind alle gerne im Büro.",4.0,,5.0,,5.0,,5.0,Über relevante Vorgänge wird man eigentlich immer zeitnah informiert und fühlt sich jederzeit eingebunden und geschätzt.,5.0,,5.0,"Super abwechslungsreich, vielfältig und dynamisch!"
303,HAPEKO Hanseatisches Personalkontor,Nein,Ja,2,0.17,2019-01-29T00:00:00+00:00,"4,7",Angestellte/r oder Arbeiter/in,Vertrieb / Verkauf,"Job, Team, Chancen, Forderungen und Förderung,Ich habe meinen Traumjob gefunden!",,,,,,,,"Team, Spirit, Spaß, Herausforderung, Support auch von den FK,",die bisweilen etwas ruckelige EDV könnte noch verbessert werden.,,5.0,"Ein spitzen Team, mit viel Charakter, Witz und Erfahrung.",5.0,,5.0,,4.0,,5.0,,3.0,,5.0,Das beste Team welches ich jemals erlebt habe in vielen Berufsjahren.,5.0,,5.0,,4.0,,5.0,"Direkt, klar, offen. Sauber und ehrlich und dabei immer auf Augenhöhe!",5.0,,5.0,
304,HAPEKO Hanseatisches Personalkontor,Nein,Ja,2,0.17,2018-08-10T00:00:00+00:00,"4,9",Angestellte/r oder Arbeiter/in,Personal / Aus- und Weiterbildung,Traumjob für Macher-Typen (m/w)!,,,,,,,,,,,5.0,"Familiäres und offenes Miteinander. Maximal produktive Arbeitsatmosphäre ohne Ablenkungen oder übliche Macht-/Hierarchie-/Karrierespielchen. Energie fließt ohne Reibungsverluste zu 100% in Kunden und Projekte. Angenehm für diejenigen, die wirklich Schaffen und Resultate sehen wollen!",5.0,,4.0,...der Kunden- und Serviceorientierung entsprechend. Als Schlagwort allerdings doch eher eine globale Zeiterscheinung und damit unabhängig von Branche und Berufsfeld. Resilienz und persönliche Coping-Strategien als Schlüssel.,5.0,,5.0,,5.0,,5.0,Positiver Team-Spirit.,5.0,,5.0,Kooperativ und offen.,5.0,,5.0,Transparente Kommunikation nach außen und innen. Regelmäßige formelle und informelle Abstimmungen.,5.0,,5.0,Immense Vielfältigkeit der Aufgaben und Anforderungen!
305,HAPEKO Hanseatisches Personalkontor,Nein,Ja,2,0.17,2018-08-08T00:00:00+00:00,"4,9",Führungskraft / Management,Personal / Aus- und Weiterbildung,"Menschliches Miteinander trifft Herz & Verstand,kompetent in der Sache, Verbindlichkeit & Vertrauen auf Mandantenseite",,,,,,,,"Freiraum, Vertrauen, Gestaltungsspielraum",,,5.0,schlichtweg erfüllend,5.0,TOP Arbeitgeber,5.0,Ich schaue abends auf die Uhr und dann ist Feierabend,5.0,Selbst ist der Mann oder die Frau,5.0,Bombe :-),5.0,,5.0,Ein Team,5.0,,5.0,"Reflektiert, bietet Rückendeckung, freundschaftlich",5.0,,4.0,habe alle Infos die ich brauche,5.0,,5.0,absolut
306,HAPEKO Hanseatisches Personalkontor,Nein,Ja,2,0.17,2018-07-18T00:00:00+00:00,"5,0",Angestellte/r oder Arbeiter/in,,Hervorragender Arbeitgeber / Tolle Atmosphäre,,,,,,,,,,,5.0,"Offene Atmosphäre,Eigene Meinungen sind erwünscht.",5.0,,5.0,,5.0,Regelmäßige interne Trainings,5.0,,,,5.0,Kommunikation ist offen und direkt.Mittags gehen wir gemeinsam zum Essen.,,,5.0,,5.0,Top EDV Ausstattung,5.0,"Regelmäßige Team-Meetings, E-Mail Verteiler, sehr offene Kommunikation.",5.0,,5.0,
307,Model GmbH,Nein,Nein,,,2020-04-03T00:00:00+00:00,"2,1",Ex-Angestellte/r oder Arbeiter/in,,kurzfristig=ok . mittelfristig=evt. . langfristig=nein . der neue Arbeitgeber hat das Potenzial daran etwas zu ändern,,,,k.A.,,k.A.,k.A.,,,,2.0,,1.0,,2.0,,2.0,,3.0,,3.0,,3.0,,3.0,,1.0,,3.0,,1.0,,2.0,,1.0,
308,Model GmbH,Nein,Nein,,,2020-01-24T00:00:00+00:00,"2,9",Angestellte/r oder Arbeiter/in,Logistik / Materialwirtschaft,Es sollte sich was ändern.,,,,,,,,"Man versucht es besser zu machen, Bemühung sind ersichtlich","Alte Strukturen werden weiter geduldet, Probleme nicht richtig Angegangen, vieles zu lange vor sich hergeschoben (Man hofft das es sich von alleine löst)","Es ist wie immer die Kommunikation, leider gibt es immer Kollegen die alles besser wissen.",3.0,Es gibt zufiel Egomanen.,4.0,Noch gut.,2.0,Hoffe es wird besser,1.0,Nichts zu merken.,2.0,Stark Verbesserung würdig.,5.0,Wird groß geschrieben.,2.0,"Gruppen Bildung, wer nicht mitspielt wird kalt gestellt.",2.0,Wer die Macht hat macht die anderen kapput,4.0,"Bis jetzt okay, müssen aber mehr gegen die Störer vorgehen.",3.0,Ausbaufähig,2.0,"Mit Vorgesetzten okay, Mitarbeiter einige unbrauchbar",5.0,Alles gut,3.0,Hält sich in Grenze
309,Model GmbH,Nein,Nein,,,2020-01-20T00:00:00+00:00,"4,3",Angestellte/r oder Arbeiter/in,Administration / Verwaltung,Wirklich gut,,,,,,,,,,,4.0,,4.0,,4.0,,4.0,,5.0,Gehalt ist Verhandlungssache. Es gibt vermögenswirksame Leistungen. Voraussichtlich wird bald eine betriebliche Altersvorsorge angeboten.,4.0,,4.0,,4.0,,4.0,,5.0,,4.0,,5.0,,5.0,
310,Model GmbH,Nein,Nein,,,2020-01-06T00:00:00+00:00,"4,1",Angestellte/r oder Arbeiter/in,Produktion,????,,,,,,,,,,Das werde ich persönlich mir den entsprechenden Personen besprechen,4.0,,4.0,,4.0,,5.0,,4.0,Kann nur für mich sprechen. Ich bin bis jetzt zufrieden. Und bei den Gehaltsverhandlungen ist man ja selber mit bei. Und wer nichts sagt der nichts gewinnt,5.0,,4.0,,4.0,,3.0,Ich denke das es in Zukunft aber besser wird.,4.0,,4.0,,4.0,,4.0,
311,Model GmbH,Nein,Nein,,,2019-12-30T00:00:00+00:00,"1,8",Ex-Angestellte/r oder Arbeiter/in,Produktion,In Sachen Lohn- und Gehaltszahlung sehr schlecht,,,,,,,,,,,,,,,3.0,,,,1.0,Jede Möglichkeit Lohn nicht zu zahlen wird vom Arbeitgeber sofort ausgenutzt.,,,2.0,,,,1.0,,2.0,,,,,,,
312,Model GmbH,Nein,Nein,,,2019-11-25T00:00:00+00:00,"4,3",Angestellte/r oder Arbeiter/in,Vertrieb / Verkauf,Guter Arbeitgeber,,,,,,,,Familienfest / Weihnachtsfeiersichere Arbeitsplätze,,Modernere ArbeitsplätzeKleine Büros statt GroßraumHomeoffice,4.0,Es herrscht ein gutes Arbeitsklima mit einer lockeren und angenehmen Atmosphäre.,3.0,Das Image wird schlechter geredet als es ist.,4.0,"Angenehme ""Kernzeiten"", die auch mal private Termine zulassen. Familienfreundlich! Urlaub für Familienväter sind in den Ferien kein Problem, wenn man diese vernünftig mit der Vetretung bespricht.",4.0,,5.0,"Gehälter werden selbst verhandelt. Kein Tarifvertrag. Die Gehälter werden zeitgerecht überwiesen. Bei den Sonderleistungen wie AV hängt es noch etwas, aber dort sind Verbesserungen in Sicht.",5.0,,5.0,"Es herrscht ein guter Zusammenhalt und die Hilfsbereitschaft ist, wenn es die Zeit zulässt, auch sehr hoch.",4.0,,5.0,So wie man in den Wald.... Ich finde das Vorgesetzenverhalten sehr gut. Ziele werden besprochen und sind realitisch.,4.0,Das Großraumbüro ist Ok. Teilweise sind die PC zu alt und langsam.Das Vertriebsbüro ist klimatisiert und mit modernen höhenverstellbaren Tischen ausgestattet.,4.0,"Die regelmäßigen Mitarbeitergespräche, Abteilungsmeetings oder auch Jahresgespräche finde ich sehr gut.",4.0,Hier wird jeder gleich behandelt!,5.0,"Das liegt an jedem selbst. Wer sich einbringt und offen für Projekte ist, kann einen sehr interessanten und abwechslungsreichen Job haben."
313,Model GmbH,Nein,Nein,,,2019-11-04T00:00:00+00:00,"2,2",Angestellte/r oder Arbeiter/in,Produktion,Sehr viel verschenktes Potenzial,,,,,,,,,,,2.0,Von Abteilungsleitern wird man nicht ernst genommen,1.0,,3.0,,2.0,,1.0,,1.0,,1.0,Nicht vorhanden,2.0,,1.0,Sehr schlecht. Sie denk sie waren etwas besseres,4.0,,3.0,,3.0,,4.0,
314,Model GmbH,Nein,Nein,,,2019-10-30T00:00:00+00:00,"1,8",Ex-Angestellte/r oder Arbeiter/in,Produktion,"Ausbeute, macht dort bitte keine Ausbildung!",,,,,,,,Das ich nicht mehr dort arbeiten muss.,Den Rest.,Komplette Unternehmensstruktur überdenken.,1.0,"Druck, Druck, und noch mehr Druck.",1.0,Alle anderen Betriebe wissen Bescheid: bei MN werden die Azubis noch ordentlich ausgebeutet.,3.0,"War in Ordnung. In der Ausbildung durchschnittlich 43-45h Arbeit, dafür gibt's im ersten Lehrjahr immerhin 300€ hinten raus. Wow.",1.0,Nicht vorhanden. Hierarchie hat hier nur 3 Stufen.,1.0,"Unter aller Kanone. Ausgebildet 10,50€ bei einer 3,5 Jahre andauernden Ausbildung.",1.0,"Nicht vorhanden. Azubis dürfen in den Ferien keinen Urlaub machen, weil sie zu ""wichtig"" sind, das bei zig Mitarbeitern",3.0,Es gibt ein paar wirklich gute Leute bei MN. Ein paar.,1.0,"Werden vom Betriebsleiter scheinbar als ""Altlasten"" angesehen.",1.0,,2.0,"Es wird auf rein gar nichts geachtet. Staub, giftige Harze, immer rein da Leute. Wer eine Staubmaske nutzt gilt gleich als Weichei.",1.0,"Nicht vorhanden. Mecker gibt's, hat nichts mit Kommunikation zu tun.",5.0,Alle werden gleich schlecht behandelt.,2.0,Der Beruf des Modellbauers bietet viele interessante Arbeitsgebiete. Leider wird hier meistens nur Geschliffen.
315,Model GmbH,Nein,Nein,,,2019-10-27T00:00:00+00:00,"4,7",Angestellte/r oder Arbeiter/in,,Faire Arbeitgeber und interessante Arbeit,,,,,,,,"Nette Kollegen, nette Vorgesetzte, Ideen werden angenommen",,Sich nicht unterkriegen lassen und weiter so machen wie bisher.,5.0,,4.0,,5.0,,4.0,,4.0,,4.0,,5.0,Ein super nettes Team mit denen man auch lachen kann. Bei offenen Fragen hilft jeder jeden.,5.0,,5.0,Alles Top. Bin sehr zufrieden,5.0,,5.0,,5.0,,5.0,Sehr interessante und Abwechslungsreiche Aufgaben die auf einen zukommen.
316,Model GmbH,Nein,Nein,,,2019-10-03T00:00:00+00:00,"4,7",Angestellte/r oder Arbeiter/in,Personal / Aus- und Weiterbildung,Bereitschaft für Veränderungen und ständige neue Herausforderungen!,,,,,,,,"Anerkannter Ausbildungsbetrieb,gibt Berufsfindern die Möglichkeit Einblicke im Unternehmen zu bekommen",,"Noch mehr in der Region in Erscheinung treten, soziales Engagement veröffentlichen",5.0,,5.0,,4.0,,5.0,"Arbeitsschutz ist sehr wichtig,daher ständige Weiterbildung durch digitale Lernsysteme.",3.0,,5.0,,5.0,,5.0,,5.0,,5.0,"Sehr modern ausgestattete Arbeitsbereiche, ergonomische Arbeitsplätze",4.0,,5.0,,5.0,"Vielfältig,durch Veränderungen stets neue Herausforderungen"
317,Zukunftsagenten GmbH,Nein,Ja,10,0.22,2019-03-08T00:00:00+00:00,"5,0",Ex-Freelancer,IT gearbeitet.</span></div>,Top Unternehmen. Top Kommunikation. Zukunftsweisend!,,,,,,,,"Sehr positive Arbeitsatmosphäre. Sehr gute, offene, klare, zielgerichtete Kommunikation.",,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,
318,Zukunftsagenten GmbH,Nein,Ja,10,0.22,2019-01-09T00:00:00+00:00,"4,8",Angestellte/r oder Arbeiter/in,,Ich bin gerne Zukunftsagentin!,,,,,,,,"Meine Aufgaben sind interessant und vielfältig. Die Zusammenarbeit ist top! Gegenseitige Unterstützung ist jederzeit selbstverständlich. Wenn ich klare Entscheidungen brauche, bekomme ich diese, wenn ich selbst entscheiden möchte, werde ich darin unterstützt. Man kann relativ flexibel die Arbeitszeit selbst einteilen, wenn die Kernaufgaben dies zulassen. Ich arbeite hauptsächlich vom Home-Office aus.",,,5.0,,5.0,,5.0,,4.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,4.0,"Austausch nicht immer einfach, da wir örtlich verstreut arbeiten.",5.0,,5.0,
319,Zukunftsagenten GmbH,Nein,Ja,10,0.22,2018-07-10T00:00:00+00:00,"4,9",Angestellte/r oder Arbeiter/in,,"Super Arbeitgeber & tolles Team, bei dem ich sehr wertgeschätzt werde und mich super weiterentwickeln kann.",,,,,,,,,,,5.0,Sehr harmonisch :),5.0,,5.0,,5.0,,5.0,,5.0,,5.0,Super Team-Zusammenhalt und gegenseitige Unterstützung.,5.0,,5.0,,5.0,"Ich fühle mich sehr wohl. Die Arbeitsorte können wir uns flexibel aussuchen, wie es gerade zu unseren Bedürfnissen und Aufgaben passen.",4.0,,5.0,,5.0,Sehr spannende und abwechslungsreiche Aufgaben. Dabei kann ich meine Persönlichkeit super weiterentwickeln und meinen Horizont erweitern.
320,Zukunftsagenten GmbH,Nein,Ja,10,0.22,2018-07-09T00:00:00+00:00,"4,9",Führungskraft / Management,Geschäftsführung gearbeitet.</span></div>,New Work in echt!,,,,,,,,"Es wird gelebt, was gepredigt wird. Offene Kommunikation in alle Richtungen. Jede/r wird von Beginn n voll einbezogen.",,"Etwas mehr ""klassische"" Elemente wie Teammeetings",5.0,"Start-Up Atmosphäre kombiniert mit Erfahrung. Locker & ernst, emotional und klar.",5.0,,5.0,"Arbeit und Leben sind eins,und beides kann im Einklang sein. das ist es hier.",4.0,,5.0,,5.0,,5.0,"Bestes Team,mit allen Aufs und Abs!",5.0,,5.0,,5.0,,5.0,"persönlich, virtuell, über alle möglichen Kanäle! Nicht immer einfach, wenn ein Team überall verstreut ist, aber der Zusammenhalt ist immer da.",5.0,,5.0,
321,Zukunftsagenten GmbH,Nein,Ja,10,0.22,2019-03-28T00:00:00+00:00,"4,9",Ex-Angestellte/r oder Arbeiter/in,,"Dynamisches Unternehmen, super spannende Aufgaben, tolle Entwicklungsmöglichkeiten",,,,,,,,,,,5.0,,5.0,,5.0,,4.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,
322,dismacon Management Consulting,Nein,Nein,,,2015-02-10T00:00:00+00:00,"4,8",Führungskraft / Management,Administration / Verwaltung gearbeitet.</span></div>,"Bester Arbeitgeber der Welt für erfahrene Manager, die etwas von ihrer Erfahrung weitergeben möchten",,,,,,,,,,,5.0,,5.0,,3.0,,5.0,,5.0,Jeder im Unternehmen verdient am Erfolg mit!,5.0,"Ist sogar in den Unternehmenswerten niedergeschrieben,und die werden sehr hoch gehalten bei dismacon.",,,5.0,"Besonders gut, da Erfahrung groß geschrieben wird bei dismacon",5.0,Kompetent und freundlich,,,5.0,,5.0,,5.0,
323,OnDemand4U GmbH,Nein,Ja,15,1.86,2018-06-14T00:00:00+00:00,"4,9",Angestellte/r oder Arbeiter/in,IT gearbeitet.</span></div>,"OD4U ist ein all in One Paket (Motivation, Freundlichkeit, Teamfähig) hier ist alles gute einer Firma vereint.",,,,,,,,"von Natur aus freundlich, kein künstliches lächeln. Ehrlichkeit. Offenheit. Wohlfühlfaktor. Motivation, es gibt unendlich vieles positives.","da müsste ich erstmal irgendetwas erfinden, es gibt einfach nichts schlechtes.",Es ist alles gut wie es ist.,5.0,"Sehr gut, Betriebsklima ist top und es existiert ein sehr großes Vertrauen untereinander, egal welche Position jemand hat, ob Chef, ob IT, ob Vertrieb jeder einzelne wird als Wertvolles Mitglied des großen und ganzen gesehen.",5.0,"Image = Realität, mehr muss man da nicht sagen.",5.0,"Familie steht immer an erster Stelle und das ist auch für die Firma in Ordnung, Familienfreundliches Unternehmen wird hier ganz groß geschrieben.",5.0,,5.0,,5.0,,5.0,Ehrlichkeit wird hier groß geschrieben.,5.0,,5.0,Vorschläge sind immer gern gesehen und werden auch bewertet. Natürlich kann nicht alles umgesetzt werden aber die Vorgesetzten haben immer ein offenes Ohr für Vorschläge und vieles wird dann auch tatsächlich umgesetzt.,4.0,,5.0,"Es finden regelmäßig (wöchentlich) ein Informationsaustausch statt, sodass alle den selben Stand haben.",5.0,Männer vs. Frauen ist hier ein schier unbekannter Kampf. Hier gilt wir sind ein Team und da wird nichts unterteilt in männlich und weiblich.,5.0,
324,OnDemand4U GmbH,Nein,Ja,15,1.86,2015-01-24T00:00:00+00:00,"4,8",Angestellte/r oder Arbeiter/in,IT gearbeitet.</span></div>,Der Mitarbeiter steht hier an erster Stelle,,,,,,,,- Super Kollegen (inkl. Vorgesetzter)- Wohl des Mitarbeiters steht im Vordergrund- Man wächst und entwickelt sich mit seiner Tätigkeit- Auch außerhalb der Arbeitszeiten finden Mitarbeiterevents statt- Sozialverantwortung nach Außen genießt hohe Priorität,- (Noch) enge Räumlichkeiten- Telefonie über VOIP noch nicht ganz ausgereift,"Von mir keine, da an allem gearbeitet wird.",5.0,Es gibt kostenfreien Kaffee und Getränke. Zwischen Kollegen wird ein höflicher und angenehmer Umgang gepflegt.,4.0,"Da sich das Unternehmen momentan in der Wachstumsphase befindet, wird momenat sehr stark an der Außenwirkung bzw. dem Image gearbeitet.",5.0,"Es gibt keine starren Arbeitszeiten. Man sollte nur schauen, ob die Zeiten mit den eigenen Tätigkeiten vereinbar sind. Urlaub ist immer mit Kollegen abzustimmen, um Unterbesetzung zu vermeiden. Sonst gibt es keine Einschränkungen. Zum Ausgleich wird auch für gemeinsame Events außerhalb des Unternehmens gesorgt.",5.0,Fort- und Weiterbildung wird immer angeboten und steht jedem offen. Diese werden über die Orbis organisiert.,5.0,Auch hier gibt es keine Kritikpunkte!,5.0,Es wird auf Mülltrennung geachtet. Die Bahn als Verkehrsmittel wird bei Außenterminen bevorzugt. Das Unternehmen engagiert sich sehr bei humanitären Projekten.,5.0,"Super Team! Freundlich, kompetent und hilfsbereit. es wird darauf geachtet, dass man mit- und voneinander lernt.",5.0,Sogar Ü50 wird hier gefördert.,5.0,"Sowohl fachlich, als auch sozial sehr kompetent!",3.0,Man teilt sich ein Büro mit bis zu 3 Personen. Es wird aber bald ein Umzug stattfinden. Ausstattung und Technik ist auf dem neusten Stand. Betriebshandy steht zu Verfügung.,5.0,"Kommunikation untereinander läuft über die normalen Wege (persönlich, E-Mail, Phone, UC, etc.). Es wird sehr viel Wert auf eine klare und verständliche Kommunikation geachtet.",5.0,Es gibt keine Unterschiede zw. weiblichen und männlichen MitarbeiterInnen egal welcher Herkunft. Jeder hat die gleichen Chancen.,5.0,Arbeit macht sehr viel Spass. Man erhält recht schnell Verantwortung in Projekten und somit auch die Möglichkeit zur persönlichen und beruflichen Weiterentwicklung.
325,OnDemand4U GmbH,Nein,Ja,15,1.86,2014-10-19T00:00:00+00:00,"5,0",Angestellte/r oder Arbeiter/in,,Die Arbeit ist sehr abwechslungsreich und man...,,,,,,,,Die Arbeit ist sehr abwechslungsreich und man kann vieles selbst gestalten.,,,5.0,Gute Teamarbeit,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,
326,SecuGlobe Sicherheitsberatung,Nein,Nein,,,2010-11-25T00:00:00+00:00,"5,0",Freelancer,IT gearbeitet.</span></div>,Sehr empfehlenswert,,,,,,,,Professionelles und relativ freies arbeiten auf selbstständiger Basis,,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,
327,IOS - Prof. Schley & Partner GmbH,Nein,Nein,,,2019-04-26T00:00:00+00:00,"4,8",Ex-Praktikant/in,,"Sehr interessante Erfahrung, perfekt zu meinem Wirtschaftspsychologie Studium gepasst, sehr nette und herzliche Kollegen",,,,,,,,"Großes Interesse, den Praktikanten mit Wissen zu fördern",,,5.0,,5.0,,5.0,,5.0,,4.0,,5.0,,5.0,,5.0,,5.0,,4.0,,5.0,,5.0,,4.0,
328,IOS - Prof. Schley & Partner GmbH,Nein,Nein,,,2018-06-18T00:00:00+00:00,"4,8",Ex-Angestellte/r oder Arbeiter/in,,Entwicklungsmöglichkeiten und super Team,,,,,,,,"viele Herausforderungen, die persönlich weiterbringennette KollegenMitgestaltung der eigenen Aufgaben und Projektewöchentliche MeetingsInteresse an der Arbeit untereinander",,bessere technische AusstattungHome Office,5.0,,4.0,,5.0,,5.0,,4.0,,5.0,,5.0,,5.0,,5.0,,4.0,,5.0,,5.0,,5.0,
329,IOS - Prof. Schley & Partner GmbH,Nein,Nein,,,2018-04-24T00:00:00+00:00,"4,8",Angestellte/r oder Arbeiter/in,,"Das Unternehmen lebt tatsächlich das, was die Kunden als Beratung erhalten",,,,,,,,,,,5.0,"Intensiv, produktiv und entschleinigt",5.0,,5.0,Es wird auf Achtsamkeit geachtet,4.0,,4.0,,5.0,,5.0,Gute Teamkultur,5.0,,5.0,Super!,5.0,,4.0,Direkte Kommunikation und flache Hierarchien,5.0,,5.0,Guter Mix an Aufgaben von Organisationsberatung und Change bis hin zu Teamentwicklung und Coaching
330,IOS - Prof. Schley & Partner GmbH,Nein,Nein,,,2018-04-24T00:00:00+00:00,"4,8",Angestellte/r oder Arbeiter/in,,"Das Unternehmen lebt tatsächlich das, was die Kunden an Beratung bekommen.",,,,,,,,,,,5.0,Intensiv und produktiv,5.0,,5.0,Achtsamkeit wird hier tatsächlich gelebt,4.0,,4.0,,5.0,,5.0,Gute Teamkultur,5.0,,5.0,Super!,5.0,,4.0,Direkte Kommunikation,5.0,,5.0,Die Aufgaben und Projekte sind sehr vielfältig
331,IOS - Prof. Schley & Partner GmbH,Nein,Nein,,,2020-03-21T00:00:00+00:00,"3,7",Ex-Führungskraft / Management,Personal / Aus- und Weiterbildung gearbeitet.</span></div>,Beratung und Weiterbildung für Kunden fundiert und innovativ,,,,,,,,,,,3.0,,4.0,,4.0,,3.0,,4.0,,4.0,,4.0,,5.0,,3.0,,3.0,,3.0,,3.0,,5.0,
332,IOS - Prof. Schley & Partner GmbH,Nein,Nein,,,2019-04-02T00:00:00+00:00,"4,8",Angestellte/r oder Arbeiter/in,,Toller Arbeitgeber,,,,,,,,,,,5.0,,4.0,,5.0,,5.0,,4.0,,5.0,,5.0,,4.0,,5.0,,5.0,,5.0,,5.0,,5.0,
333,"LANDESAMT FûR UMWELTSCHUTZ, NATURSCHUTZ UND GEOLOGIE MECKLENBURG - VORPOMMERN",Nein,Nein,,,2013-07-26T00:00:00+00:00,"5,0",Angestellte/r oder Arbeiter/in,,"nette Kollegen, gutes Arbeitsumfeld, spannende...",,,,,,,,"nette Kollegen, gutes Arbeitsumfeld, spannende Aufgaben.",,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,
334,"LANDESAMT FûR UMWELTSCHUTZ, NATURSCHUTZ UND GEOLOGIE MECKLENBURG - VORPOMMERN",Nein,Nein,,,2011-02-14T00:00:00+00:00,"4,8",Angestellte/r oder Arbeiter/in,IT gearbeitet.</span></div>,"LUNG M-V angenehmes Arbeitsklima, nette Kollegen und interessante Aufgaben",,,,,,,,,,,5.0,ich gehe gerne zur Arbeit und freue mich auf die Aufgaben des Tages,5.0,"ich bin stolz drauf, hier zu arbeiten und würde es weiterempfehlen.",5.0,sehr gute Work-Life-Balance,5.0,"Weiterbildung wird aktiv gefördert, an der VerwaltungsFH nebenan viele gute Kurse",5.0,Das Gehalt folgt dem TvÖD,5.0,Als Landesumweltamt sehr starkes Umwelt- und Sozialbewusstsein.,4.0,gute Kommunikation zwischen den Abteilungen,5.0,viele Kollegen sind über 45,5.0,über alle Ebenen konstruktive Arbeit mit den Vorgesetzten,4.0,"genügend Platz, hell, neue Technik (PC)",4.0,viele Projekte werden regelmäßig vorgestellt,5.0,"sehr hohe Frauenquote, gleiche Chancen für alle, auch für Quer- und Neueinsteiger",5.0,Aufgabenrahmen kann selber gestaltet und gefüllt werden
335,SIRE Life Sciences,Nein,Ja,5,0.41,2017-08-07T00:00:00+00:00,"4,8",Angestellte/r oder Arbeiter/in,Personal / Aus- und Weiterbildung,Managing Recruitment Strategist,,,,,,,,"the company culture, working with young, talented and driven professionals",,,5.0,,5.0,,4.0,,5.0,,5.0,,5.0,,5.0,,4.0,,5.0,,5.0,,5.0,,5.0,,5.0,
